nama_provinsi,kode_kabkota,nama_kabkota,koordinat_kabkota,positif
Prov. Maluku,8102,Maluku Tenggara,"-5.63475,133.02",0
Prov. Maluku,8103,Maluku Tengah,"-3.32153,129.356",0
Prov. Maluku,8104,Buru,"-3.34065,126.639",0
Prov. Maluku,8105,Kepulauan Aru,"-6.55316,134.291",0
Prov. Maluku,8106,Seram Bagian Barat,"-3.16,128.29",0
Prov. Maluku,8107,Seram Bagian Timur,"-3.42318,130.347",0
Prov. Maluku,8108,Maluku Barat Daya,"-7.7893,126.313",0
Prov. Maluku,8109,Buru Selatan,"-3.52835,126.615",0
Prov. Maluku,8171,Kota Ambon,"-3.67265,128.234",0
Prov. Maluku,8172,Kota Tual,"-5.6088,132.783",0
Prov. Maluku Utara,8201,Halmahera Barat,"1.51616,127.624",0
Prov. Maluku Utara,8202,Halmahera Tengah,"0.406088,128.463",0
Prov. Maluku Utara,8203,Kepulauan Sula,"-1.83272,124.834",0
Prov. Maluku Utara,8204,Halmahera Selatan,"-1.54092,127.787",0
Prov. Maluku Utara,8205,Halmahera Utara,"1.5173,127.793",0
Prov. Maluku Utara,8206,Halmahera Timur,"1.02798,128.238",0
Prov. Maluku Utara,8207,Pulau Morotai,"2.31688,128.449",0
Prov. Maluku Utara,8271,Kota Ternate,"0.809597,127.339",0
Prov. Maluku Utara,8272,Kota Tidore Kepulauan,"0.406088,127.662",0
Prov. Papua Barat,9101,Fak-Fak,"-3.31843,132.872",0
Prov. Papua Barat,9102,Kaimana,"-3.5477,134.443",0
Prov. Papua Barat,9103,Teluk Wondama,"-2.58788,134.557",0
Prov. Papua Barat,9104,Teluk Bintuni,"-2.0977,133.322",0
Prov. Papua Barat,9105,Manokwari,"-1.80035,133.968",0
Prov. Papua Barat,9106,Sorong Selatan,"-1.66473,132.197",0
Prov. Papua Barat,9107,Sorong,"-0.946039,131.859",0
Prov. Papua Barat,9108,Raja Ampat,"-0.229671,131.037",0
Prov. Papua Barat,9109,Tambrauw,"-0.719501,132.355",0
Prov. Papua Barat,9110,Maybrat,"-1.43974,132.338",0
Prov. Papua Barat,9171,Kota Sorong,"-0.927203,131.366",0
Prov. Papua,9401,Merauke,"-7.9868,139.839",0
Prov. Papua,9402,Jayawijaya,"-3.95492,139.031",0
Prov. Papua,9403,Jayapura,"-3.0866,140.033",0
Prov. Papua,9404,Nabire,"-3.46936,135.302",0
Prov. Papua,9408,Yapen Waropen,"-1.75587,136.161",0
Prov. Papua,9409,Biak Numfor,"-0.912187,135.872",0
Prov. Papua,9410,Paniai,"-3.78484,136.459",0
Prov. Papua,9411,Puncak Jaya,"-3.39141,138.025",0
Prov. Papua,9412,Mimika,"-4.45002,136.341",0
Prov. Papua,9413,Boven Digoel,"-6.18709,140.378",0
Prov. Papua,9414,Mappi,"-6.31382,139.264",0
Prov. Papua,9415,Asmat,"-5.44092,138.728",0
Prov. Papua,9416,Yahukimo,"-4.44653,139.463",0
Prov. Papua,9417,Pegunungan Bintang,"-4.54753,140.526",0
Prov. Papua,9418,Tolikara,"-3.53772,138.863",0
Prov. Papua,9419,Sarmi,"-2.58306,139.134",0
Prov. Papua,9420,Keerom,"-3.24333,140.545",0
Prov. Papua,9426,Waropen,"-2.68118,136.578",0
Prov. Papua,9427,Supiori,"-0.75568,135.558",0
Prov. Papua,9428,Mamberamo Raya,"-2.39784,137.878",0
Prov. Papua,9429,Nduga,"-4.34969,138.305",0
Prov. Papua,9430,Lanny Jaya,"-3.85485,138.37",0
Prov. Papua,9431,Mamberamo Tengah,"-3.61216,139.172",0
Prov. Papua,9432,Yalimo,"-3.79591,139.555",0
Prov. Papua,9433,Puncak,"-3.5955,137.472",0
Prov. Papua,9434,Dogiyai,"-3.72869,135.997",0
Prov. Papua,9435,Intan Jaya,"-4.07561,136.341",0
Prov. Papua,9436,Deiyai,"-3.59701,136.599",0
Prov. Papua,9471,Kota Jayapura,"-2.6529,140.772",0
